system,interface,strategy,keys
sicc,dcampcer,MERGE,"pt_country,Aniocampana"
sicc,dgeografia,MERGE,"codpais,CodTerritorio"
sicc,debelista,MERGE,"pt_country,codebelista"
sicc,debelistadatosadic,MERGE,"pt_country,codebelista"
sicc,dmatrizcampana,MERGE,"pt_country,codcanalventa,aniocampana,codproducto,codtipooferta,codventa"
sicc,dgeografiacampana,MERGE,"pt_country,aniocampana,codterritorio"
sicc,dletsrangoscomision,MERGE,"pt_country,codprograma,codnivel,tipovalor,codrango"
sicc,dnrodocumento,MERGE,"pt_country,aniocampana,nrodocumento,codterritorio,codebelista"
sicc,fvtaproebecam,MERGE,"pt_country,aniocampana,codcanalventa,codproducto,codterritorio,codebelista,codtipooferta,codtipodocumento,nrodocumento,codventa,aniocampanaref,fechaproceso"
sicc,fstaebecam,MERGE,"pt_country,aniocampana,codebelista"
sicc,fstaebeadic,MERGE,"pt_country,aniocampana,codebelista"
sicc,tstaebecam,MERGE,"pt_country,aniocampana"
sicc,dstatusf,MERGE,"pt_country,aniocampana,codregion,codzona"
sicc,dtiempoactividadzona,MERGE,"pt_country,aniocampana,codzona,codregion,codactividad"
sicc,fnumpedcam,MERGE,"pt_country,aniocampana"
sicc,dapoyoproducto,MERGE,"pt_country,aniocampana,codventaapoyador,codtipoofertaapoyador,codproductoapoyador,codcanalventaapoyador,codventaapoyado,codtipoofertaapoyado,codcanalventaapoyado"
planit,dcontrol,MERGE,"pt_country"
planit,dtipooferta,MERGE,"pt_country,codtipooferta"
planit,dmatrizcampana,MERGE,"pt_country,codcanalventa,aniocampana,codproducto,codtipooferta,codventa"
planit,dcostoproductocampana,MERGE,"aniocampana,codproducto,codcanalventa"
planit,fnumpedcam,MERGE,"pt_country,aniocampana"
planit,fvtaprocammes,MERGE,"codcanalventa,aniocontable,aniocampana,mes,codproducto,codtipooferta"
sap,dproducto,MERGE,"codsap"
bi,debelista,MERGE,"pt_country,codebelista"
bi,dpalancas,MERGE,"pt_country,codpalanca"
bi,findsociaemp,MERGE,"pt_country,aniocampana,codseccion,desnivel"
bi,dcatalogovehiculo,MERGE,"pt_country,codcatalogo"
bi,fstaebecam,MERGE,"pt_country,aniocampana,codebelista"
bi,dcomportamientorolling,MERGE,"pt_country,codcomportamiento"
bi,dstatus,MERGE,"pt_country,codstatus"
bi,fresultadopalancas,MERGE,"pt_country,aniocampana,codregion,codzona,codseccion,codebelista"
bi,dpais,MERGE,"codpais"
digital,flogingresoportal,MERGE,"pt_country,aniocampana,codebelista"
digital,fingresosconsultoraportal,MERGE,"pt_country,aniocampanaweb,consultora"
digital,dorigenpedidoweb,OVERWRITE,""
digital,fpedidowebdetalle,MERGE,"pt_country,aniocampana,codebelista,pedidoid,pedidodetalleid"
digital,fofertafinalconsultora,MERGE,"pt_country,aniocampana,codebelista"
digital,fcompdigcon,MERGE,"aniocampana,aniocampanasuscripcion,codebelista"
